time,Var1,m,water_free,runoff,water_leach,waterF_1_,waterF_2_,waterF_3_,waterF_4_,waterF_5_,waterF_6_,waterF_7_,waterF_8_,waterF_9_,wpotent_1_,wpotent_2_,wpotent_3_,wpotent_4_,wpotent_5_,wpotent_6_,wpotent_7_,wpotent_8_,wpotent_9_,wpotent_10_
04-Jun-2018,12468.5,12468.5,0,0,0,0.000749131541666666,0.00248559474583333,-0.000321931179166667,-0.000470933754166667,-0.000418794629166667,-0.0002698287375,-7.97364166666667e-05,0,0,-267.060150146467,-257.555725097646,-273.458335876467,-213.751706441233,-193.266572316488,-173.011694590246,-152.418259938554,-121.871435801187,-20.7470054626,-76.4037033716875
05-Jun-2018,12492.5,12492.5,0,0,0,-0.00236299849166667,5.4004275e-05,-0.000229097833333333,-0.000380453066666667,-0.000363458466666667,-0.000248781704166667,-7.9503875e-05,0,0,-324.027100880946,-278.8731803894,-265.210063934329,-213.914118448904,-193.518817265817,-173.295473098758,-152.741882324212,-122.115692456563,-20.7470054626,-76.404821077975
06-Jun-2018,12516.5,12516.5,0,0,0,-0.0022973616875,-0.000633449041666667,-0.000244703166666667,-0.000393178333333333,-0.000363488079166667,-0.0002389841125,-7.91287416666667e-05,0,0,-360.352200826004,-298.350306193042,-267.272407531729,-214.234342575079,-193.821801503512,-173.596190134683,-153.058263778675,-122.368000666304,-20.7470054626,-76.4061934153292
07-Jun-2018,12540.5,12540.5,0,0,0,-0.0019381776375,-0.000904098658333333,-0.0002938937125,-0.0004165508,-0.000371020808333333,-0.000238326141666667,-7.87268958333333e-05,0,0,-383.400262196846,-313.577833811438,-272.632915496825,-214.587253570567,-194.1457080841,-173.913014729821,-153.370519638054,-122.620036125192,-20.7470054626,-76.4075587590542
08-Jun-2018,12564.5,12564.5,0,0,0,0.000161297625,-0.000817704645833333,-0.0003470729625,-0.000429563783333333,-0.000368045358333333,-0.0002354295375,-7.83006e-05,0,0,-351.555515289312,-320.134779612221,-278.4173482259,-214.901912689208,-194.442296981808,-174.209221522017,-153.667587280275,-122.864094098408,-20.7470054626,-76.4086710611958
09-Jun-2018,12588.5,12588.5,0,0,0,8.38780458333332e-05,-0.0002571906875,-0.0003597213875,-0.000446454429166667,-0.0003745922,-0.000233627508333333,-7.7844275e-05,0,0,-314.586447397862,-304.269302368154,-280.376246134438,-215.2193145752,-194.737121582029,-174.497623443608,-153.954568862917,-123.104295094813,-20.7470054626,-76.4096717834542
10-Jun-2018,12612.5,12612.5,0,0,0,-0.00123338967083333,-0.000405319866666667,-0.000358555520833333,-0.000470972025,-0.000396835858333333,-0.000241135945833333,-7.74589041666667e-05,0,0,-356.757139841712,-310.450515747062,-281.161640167237,-215.598421096808,-195.08411979675,-174.8276386261,-154.260946909579,-123.35119660695,-20.7470054626,-76.4108934402417
11-Jun-2018,12636.5,12636.5,0,0,0,-0.00152136711666667,-0.000612209329166667,-0.000374688570833333,-0.00049396985,-0.000417842166666667,-0.000252495466666667,-7.72084666666667e-05,0,0,-387.5000928243,-321.676247914629,-283.777412414546,-216.01364453635,-195.467677434279,-175.194383621221,-154.593935648604,-123.603286107383,-20.7470054626,-76.4122765858958
12-Jun-2018,12660.5,12660.5,0,0,0,-0.00168975171666667,-0.000770850420833333,-0.000404174908333333,-0.0005044835125,-0.0004222453125,-0.000257389220833333,-7.70383958333333e-05,0,0,-423.158575693767,-334.255564371742,-287.735945383712,-216.397401809692,-195.833312988288,-175.5538775126,-154.934360504142,-123.852404594429,-20.7470054626,-76.413553237925
13-Jun-2018,12684.5,12684.5,0,0,0,-0.00130347372916667,-0.000826327041666667,-0.0004403962625,-0.0005044772375,-0.0004166138375,-0.000257531541666667,-7.68864166666667e-05,0,0,-428.844792683912,-344.8241704305,-292.389291127517,-216.746889750167,-196.176767985033,-175.897990544646,-155.270733515413,-124.096665700288,-20.7470054626,-76.41465504965
