"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"50",0.0826979429,0.1080528647,0.1062702984,0.0720447898,0.1566467732,0.2028561234,0.1380931139,0.0813905671,0.0794887096,0.1605087668,0.0826979429,0.1080528647,0.1062702984,0.0720447898,2018-02-19
"51",0.0825964212,0.1081379205,0.1062591225,0.0719546676,0.1563884318,0.202586323,0.1378293633,0.0812171698,0.0794014186,0.1605471224,0.0825964212,0.1081379205,0.1062591225,0.0719546676,2018-02-20
"52",0.0823603272,0.1081322059,0.1062680632,0.0718722418,0.1561495066,0.2023350745,0.137579456,0.0810482726,0.0793167129,0.1605867594,0.0823603272,0.1081322059,0.1062680632,0.0718722418,2018-02-21
"53",0.0827910081,0.1081255227,0.1062290594,0.0717835501,0.1558979899,0.2020745873,0.1373286694,0.080880262,0.0792339444,0.1606232375,0.0827910081,0.1081255227,0.1062290594,0.0717835501,2018-02-22
"54",0.0907792225,0.109000966,0.1062059179,0.0716863424,0.1556250006,0.2017946392,0.1370663792,0.0807118341,0.0791528374,0.1606550515,0.0907792225,0.109000966,0.1062059179,0.0716863424,2018-02-23
"55",0.0888577029,0.1099283993,0.1064508259,0.0716057718,0.1553826928,0.2015381455,0.136813134,0.0805480108,0.0790740699,0.1606887728,0.0888577029,0.1099283993,0.1064508259,0.0716057718,2018-02-24
"56",0.0881400406,0.1101808697,0.1066739187,0.0715297908,0.1551532149,0.2012944818,0.1365693808,0.080386661,0.0789972246,0.1607216448,0.0881400406,0.1101808697,0.1066739187,0.0715297908,2018-02-25
"57",0.0867167041,0.1099763587,0.1067442521,0.0714445338,0.154906705,0.201038301,0.1363225579,0.0802247524,0.0789218396,0.1607500464,0.0867167041,0.1099763587,0.1067442521,0.0714445338,2018-02-26
"58",0.0883374363,0.1099484563,0.106717214,0.0713576153,0.1546582133,0.2007803768,0.1360746473,0.0800643265,0.0788481385,0.1607765108,0.0883374363,0.1099484563,0.106717214,0.0713576153,2018-02-27
"59",0.0859217048,0.1098418459,0.1067260727,0.071277298,0.1544248611,0.2005357146,0.1358347535,0.0799074769,0.0787763,0.1608038843,0.0859217048,0.1098418459,0.1067260727,0.071277298,2018-02-28
"60",0.0838748291,0.1092712581,0.1066425294,0.0711980164,0.1541984528,0.2002998739,0.1356037855,0.0797535852,0.0787061825,0.1608313024,0.0838748291,0.1092712581,0.1066425294,0.0711980164,2018-03-01
"61",0.0821747556,0.1086247116,0.106419906,0.0711065456,0.1539464593,0.2000430077,0.1353638619,0.0795992091,0.0786373019,0.1608545631,0.0821747556,0.1086247116,0.106419906,0.0711065456,2018-03-02
"62",0.0847794563,0.1084015816,0.1061615348,0.0710116997,0.153685838,0.1997773349,0.1351168007,0.0794462115,0.0785698593,0.160876289,0.0847794563,0.1084015816,0.1061615348,0.0710116997,2018-03-03
"63",0.0827752799,0.1082653999,0.1060031727,0.0709189326,0.1534261554,0.1995107234,0.1348664016,0.0792953297,0.0785038769,0.1608976424,0.0827752799,0.1082653999,0.1060031727,0.0709189326,2018-03-04
"64",0.0798777118,0.1076104343,0.1058488488,0.0708346814,0.1531867534,0.1992617846,0.1346253008,0.0791486427,0.0784396157,0.1609213799,0.0798777118,0.1076104343,0.1058488488,0.0708346814,2018-03-05
"65",0.078131929,0.1069076061,0.1056078896,0.0707474127,0.1529441625,0.199012354,0.1343873739,0.0790038556,0.0783766955,0.1609446257,0.078131929,0.1069076061,0.1056078896,0.0707474127,2018-03-06
"66",0.0780950636,0.1064295918,0.1053427979,0.0706585646,0.1526990533,0.198761642,0.1341507286,0.0788610876,0.0783151016,0.1609676629,0.0780950636,0.1064295918,0.1053427979,0.0706585646,2018-03-07
"67",0.0753815547,0.1057149917,0.1050363928,0.0705588907,0.1524273008,0.1984869689,0.1339003146,0.0787173584,0.0782544613,0.1609868705,0.0753815547,0.1057149917,0.1050363928,0.0705588907,2018-03-08
"68",0.0740944669,0.1050368026,0.104707934,0.0704580098,0.1521508098,0.1982060671,0.1336418688,0.078574948,0.0781950131,0.1610053331,0.0740944669,0.1050368026,0.104707934,0.0704580098,2018-03-09
"69",0.0742908567,0.104572624,0.1043877378,0.0703542903,0.1518662125,0.1979169399,0.1333759278,0.0784334317,0.07813669,0.1610227078,0.0742908567,0.104572624,0.1043877378,0.0703542903,2018-03-10
"70",0.073595807,0.104304947,0.1041902527,0.0702656433,0.1516147107,0.197655797,0.1331238747,0.0782972202,0.0780800357,0.161045,0.073595807,0.104304947,0.1041902527,0.0702656433,2018-03-11
"71",0.0735799745,0.104030937,0.1039909944,0.0701707006,0.1513497382,0.1973848343,0.1328700781,0.0781610832,0.0780243203,0.1610652953,0.0735799745,0.104030937,0.1039909944,0.0701707006,2018-03-12
"72",0.0728470683,0.1037552804,0.1038098112,0.0700749904,0.151081264,0.1971101165,0.1326135993,0.0780257881,0.077969633,0.1610847116,0.0728470683,0.1037552804,0.1038098112,0.0700749904,2018-03-13
"73",0.0723733678,0.1034564674,0.1036085635,0.0699726641,0.1507959813,0.1968198866,0.1323470175,0.077889666,0.0779156983,0.1611011624,0.0723733678,0.1034564674,0.1036085635,0.0699726641,2018-03-14
"74",0.071775794,0.1032073274,0.1034344211,0.0698737353,0.1505158395,0.1965318173,0.1320777982,0.0777549446,0.0778628215,0.1611178517,0.071775794,0.1032073274,0.1034344211,0.0698737353,2018-03-15
"75",0.0707264245,0.1028484851,0.1032543704,0.0697728693,0.1502321213,0.1962417066,0.1318072677,0.0776207522,0.0778108239,0.1611335576,0.0707264245,0.1028484851,0.1032543704,0.0697728693,2018-03-16
"76",0.0689935461,0.1023295149,0.1030506119,0.0696710348,0.1499454677,0.1959483176,0.1315340698,0.0774870887,0.0777597502,0.1611483991,0.0689935461,0.1023295149,0.1030506119,0.0696710348,2018-03-17
"77",0.0702271163,0.1021288261,0.1028715298,0.0695748255,0.1496712565,0.1956649125,0.1312654465,0.0773557276,0.0777097493,0.1611648351,0.0702271163,0.1021288261,0.1028715298,0.0695748255,2018-03-18
"78",0.0689041242,0.1019159406,0.1027339026,0.0694804192,0.1494020969,0.1953875721,0.1310025454,0.077225931,0.0776607022,0.1611818522,0.0689041242,0.1019159406,0.1027339026,0.0694804192,2018-03-19
"79",0.0683976337,0.1016051844,0.1025712192,0.0693820044,0.1491241157,0.1951034218,0.1307378262,0.0770959929,0.0776123926,0.1611971855,0.0683976337,0.1016051844,0.1025712192,0.0693820044,2018-03-20
"80",0.0675995499,0.1012735814,0.1023961157,0.0692820549,0.148841247,0.1948140115,0.1304692924,0.0769661888,0.0775648281,0.1612113118,0.0675995499,0.1012735814,0.1023961157,0.0692820549,2018-03-21
"81",0.0657341108,0.1007975116,0.1021821201,0.0691752136,0.1485412121,0.1945089102,0.1301902384,0.0768351406,0.0775178075,0.1612223983,0.0657341108,0.1007975116,0.1021821201,0.0691752136,2018-03-22
"82",0.0662609786,0.1004861742,0.1019599289,0.0690675974,0.1482379436,0.1941995174,0.1299057007,0.0767043233,0.077471517,0.1612325907,0.0662609786,0.1004861742,0.1019599289,0.0690675974,2018-03-23
"83",0.0661130846,0.1002756059,0.101784572,0.068964377,0.1479440033,0.1938979328,0.1296240091,0.0765751526,0.0774261281,0.1612438858,0.0661130846,0.1002756059,0.101784572,0.068964377,2018-03-24
"84",0.0659623146,0.1001185104,0.1016207635,0.0688585266,0.1476427168,0.1935895383,0.1293383986,0.0764456764,0.0773813352,0.1612536162,0.0659623146,0.1001185104,0.1016207635,0.0688585266,2018-03-25
"85",0.0665066764,0.1000488102,0.1015074775,0.0687597916,0.1473570615,0.1932942122,0.1290592551,0.0763183087,0.0773374364,0.1612651944,0.0665066764,0.1000488102,0.1015074775,0.0687597916,2018-03-26
"86",0.0848446265,0.1015514359,0.1015837044,0.0686835274,0.1471242756,0.1930458844,0.1288089156,0.0761974007,0.0772949383,0.1612843126,0.0848446265,0.1015514359,0.1015837044,0.0686835274,2018-03-27
"87",0.1618113965,0.1219443902,0.1025396213,0.0685977861,0.1468566656,0.1927682757,0.1285492778,0.0760722607,0.0772524998,0.1612963378,0.1618113965,0.1219443902,0.1025396213,0.0685977861,2018-03-28
"88",0.1346616894,0.1328321397,0.1130608022,0.0686775967,0.1467700601,0.192588672,0.1283108294,0.0759481862,0.0772107318,0.1613084227,0.1346616894,0.1328321397,0.1130608022,0.0686775967,2018-03-29
"89",0.1277673542,0.1305016577,0.116039589,0.068753548,0.1468355656,0.1925770193,0.1281611174,0.0758248195,0.0771695301,0.161319077,0.1277673542,0.1305016577,0.116039589,0.068753548,2018-03-30
"90",0.1105584055,0.126517415,0.1166508049,0.0687875599,0.146889776,0.192599982,0.1280923337,0.0757028684,0.0771287754,0.1613276601,0.1105584055,0.126517415,0.1166508049,0.0687875599,2018-03-31
"91",0.1060310751,0.1235412657,0.1157805845,0.0688087568,0.1469525248,0.1926515251,0.1280867308,0.0755882263,0.0770890862,0.1613412052,0.1060310751,0.1235412657,0.1157805845,0.0688087568,2018-04-01
"92",0.1074600294,0.1221359968,0.114513725,0.0687908307,0.1469364315,0.1926460117,0.1280801296,0.0754724368,0.077049382,0.1613478065,0.1074600294,0.1221359968,0.114513725,0.0687908307,2018-04-02
"93",0.10142681,0.1205222234,0.1135892868,0.068776235,0.1469179392,0.1926336884,0.1280736476,0.0753624439,0.0770105347,0.1613572836,0.10142681,0.1205222234,0.1135892868,0.068776235,2018-04-03
"94",0.0983337089,0.118540056,0.1125073358,0.0687499568,0.1468739808,0.1926004142,0.128055796,0.0752551928,0.0769721791,0.1613657922,0.0983337089,0.118540056,0.1125073358,0.0687499568,2018-04-04
