 NEE,GPP,Reco,FoliageC
     0.01235843,     0.72763759,     0.73999602,  64.6704330444
     0.10823725,     0.65625882,     0.76449609,  64.2290420532
     0.02830586,     0.63235098,     0.66065681,  63.7665596008
     0.06864992,     0.41545454,     0.48410448,  63.2689247131
    -0.02751321,     0.57984430,     0.55233109,  62.7640953064
     0.07398075,     0.45047334,     0.52445406,  62.2657699585
     0.16859160,     0.42961147,     0.59820306,  61.7429389954
     0.06829648,     0.69251776,     0.76081419,  61.2933959961
     0.15806584,     0.62718934,     0.78525519,  60.8922233582
     0.10338112,     0.46398163,     0.56736279,  60.4292297363
     0.02389356,     0.44356090,     0.46745446,  59.6673011780
     0.06917320,     0.44749519,     0.51666844,  59.1341285706
     0.12402442,     0.43302497,     0.55704933,  58.6578826904
     0.12822405,     0.41036800,     0.53859210,  58.1703414917
     0.19602366,     0.36026126,     0.55628490,  57.6719284058
     0.16183770,     0.36745533,     0.52929300,  57.1670989990
     0.13473904,     0.27777407,     0.41251308,  56.6436958313
     0.10200693,     0.26628837,     0.36829531,  56.0681953430
     0.12163291,     0.25390273,     0.37553561,  55.5214996338
     0.15662661,     0.23153126,     0.38815787,  54.9852027893
     0.16419165,     0.19217141,     0.35636303,  54.4365692139
     0.11807492,     0.20604226,     0.32411718,  53.6885147095
     0.18069705,     0.19678009,     0.37747711,  53.0992851257
     0.25005442,     0.10892130,     0.35897574,  52.5516014099
     0.16390267,     0.09219308,     0.25609577,  50.8273468018
     0.12864904,     0.12942846,     0.25807750,  49.4297904968
     0.13129045,     0.14748263,     0.27877307,  48.7101974487
     0.15165216,     0.12740372,     0.27905589,  47.6361541748
     0.16717103,     0.12250412,     0.28967518,  46.8776016235
     0.19876586,     0.10943627,     0.30820215,  46.3502159119
     0.20151885,     0.09769100,     0.29920986,  45.7954254150
     0.21071465,     0.08972848,     0.30044314,  45.2818450928
     0.21437669,     0.09202455,     0.30640125,  44.7894744873
     0.21087885,     0.07900956,     0.28988841,  44.3013305664
     0.19621100,     0.05618156,     0.25239253,  43.4963264465
     0.18802512,     0.05580179,     0.24382691,  42.5488510132
     0.19410700,     0.04677267,     0.24087970,  41.8987503052
     0.17457566,     0.04999880,     0.22457445,  40.7898864746
     0.17988402,     0.05232045,     0.23220447,  39.9154968262
     0.19232015,     0.04023949,     0.23255964,  39.3468856812
     0.17493962,     0.04580567,     0.22074530,  38.3686828613
     0.18713190,     0.04972729,     0.23685916,  37.5301971436
     0.19689704,     0.04748172,     0.24437873,  37.0082931519
     0.20201468,     0.04444023,     0.24645494,  36.5855026245
     0.19665426,     0.04586956,     0.24252382,  36.0799102783
     0.19663998,     0.03594502,     0.23258501,  35.4919242859
     0.20566487,     0.04168769,     0.24735256,  34.9981193542
     0.20406975,     0.03956437,     0.24363412,  34.5317649841
     0.18710810,     0.02385677,     0.21096489,  33.5463485718
     0.17687643,     0.02611509,     0.20299152,  32.5252075195
     0.17951092,     0.03132886,     0.21083978,  31.8078727722
     0.18056142,     0.03202879,     0.21259022,  30.7158222198
     0.18616031,     0.03280890,     0.21896921,  29.4980430603
     0.21665134,     0.03391403,     0.25056538,  29.0307388306
     0.21926345,     0.02104907,     0.24031252,  28.6984882355
     0.16548187,     0.00831036,     0.17379223,  27.8878059387
     0.17291135,     0.01455345,     0.18746482,  26.1822776794
     0.18963645,     0.02381175,     0.21344818,  23.8379478455
     0.16195554,     0.02641943,     0.18837500,  21.0918292999
     0.15590039,     0.02859288,     0.18449326,  18.9257488251
     0.15998906,     0.02504565,     0.18503469,  17.0381946564
     0.24264610,     0.00000000,     0.24264610,  16.5859489441
     0.20272069,     0.00000000,     0.20272069,  15.3693180084
     0.25245887,     0.00000000,     0.25245887,  14.8888950348
     0.52014643,     0.00000000,     0.52014643,  14.7038154602
     0.49059442,     0.00000000,     0.49059442,  14.4749536514
     0.35156447,     0.00000000,     0.35156447,  13.2341442108
     0.42845976,     0.00000000,     0.42845976,  12.4623689651
     0.48619461,     0.00000000,     0.48619461,  12.1297187805
     0.54503560,     0.00000000,     0.54503560,  11.9793596268
     0.56908745,     0.00000000,     0.56908745,  11.8573398590
     0.55655587,     0.00000000,     0.55655587,  11.7354555130
     0.44063276,     0.00000000,     0.44063276,  11.1817159653
     0.39121178,     0.00000000,     0.39121178,  10.2806463242
     0.43625301,     0.00000000,     0.43625301,   9.7608823776
     0.41157568,     0.00000000,     0.41157568,   8.8674545288
     0.36991221,     0.00000000,     0.36991221,   7.8859286308
     0.35625744,     0.00000000,     0.35625744,   6.9684610367
     0.34105590,     0.00000000,     0.34105590,   6.0490360260
     0.33337951,     0.00000000,     0.33337951,   5.2116918564
     0.33316138,     0.00000000,     0.33316138,   4.5993871689
     0.35864395,     0.00000000,     0.35864395,   4.1939363480
     0.34729299,     0.00000000,     0.34729299,   3.8059048653
     0.37023371,     0.00000000,     0.37023371,   3.5009467602
     0.39844602,     0.00000000,     0.39844602,   3.4095594883
     0.33385655,     0.00000000,     0.33385655,   3.0534627438
     0.29456055,     0.00000000,     0.29456055,   2.6712002754
     0.30266380,     0.00000000,     0.30266380,   2.3816039562
     0.32682419,     0.00000000,     0.32682419,   2.1702291965
     0.26602781,     0.00000000,     0.26602781,   1.8991225958
     0.26743975,     0.00000000,     0.26743975,   1.6263450384
     0.24121104,     0.00000000,     0.24121104,   1.3834216595
     0.23660910,     0.00000000,     0.23660910,   1.1877044439
     0.24875848,     0.00000000,     0.24875848,   1.0529232025
     0.28654340,     0.00000000,     0.28654340,   0.9593337178
     0.24059063,     0.00000000,     0.24059063,   0.8384940028
     0.22550647,     0.00000000,     0.22550647,   0.7143816352
     0.22232905,     0.00000000,     0.22232905,   0.6207520366
     0.27977151,     0.00000000,     0.27977151,   0.5697093606
     0.34277898,     0.00000000,     0.34277898,   0.5447256565
     0.40214899,     0.00000000,     0.40214899,   0.5350114703
     0.37008050,     0.00000000,     0.37008050,   0.5251832008
     0.31422773,     0.00000000,     0.31422773,   0.4834979475
     0.26543543,     0.00000000,     0.26543543,   0.4290691018
     0.25827023,     0.00000000,     0.25827023,   0.3896867037
     0.24687241,     0.00000000,     0.24687241,   0.3463785648
     0.23764095,     0.00000000,     0.23764095,   0.3093461990
     0.22609651,     0.00000000,     0.22609651,   0.2712879181
     0.22941788,     0.00000000,     0.22941788,   0.2361934483
     0.21248010,     0.00000000,     0.21248010,   0.2067106962
     0.22150895,     0.00000000,     0.22150895,   0.1784497648
     0.19660310,     0.00000000,     0.19660310,   0.1488063484
     0.19490306,     0.00000000,     0.19490306,   0.1234038100
     0.19326541,     0.00000000,     0.19326541,   0.1025649086
     0.19129866,     0.00000000,     0.19129866,   0.0868829340
     0.18967436,     0.00000000,     0.18967436,   0.0775043964
     0.18736009,     0.00000000,     0.18736009,   0.0677607805
     0.18481088,     0.00000000,     0.18481088,   0.0577262044
     0.22938201,     0.00000000,     0.22938201,   0.0521187410
     0.22017241,     0.00000000,     0.22017241,   0.0459857620
     0.19035737,     0.00000000,     0.19035737,   0.0383970104
     0.20216155,     0.00000000,     0.20216155,   0.0316406600
     0.33077157,     0.00000000,     0.33077157,   0.0277719051
     0.25344899,     0.00000000,     0.25344899,   0.0229780991
     0.22364338,     0.00000000,     0.22364338,   0.0176264532
     0.19917716,     0.00000000,     0.19917716,   0.0126561532
     0.18407065,     0.00000000,     0.18407065,   0.0082948813
     0.19933715,     0.00000000,     0.19933715,   0.0047400608
     0.22152154,     0.00000000,     0.22152154,   0.0016413988
     0.28781530,     0.00000000,     0.28781530,   0.0000045788
     0.26429597,     0.00000000,     0.26429597,   0.0000000000
     0.26087871,     0.00000000,     0.26087871,   0.0000000000
     0.25363061,     0.00000000,     0.25363061,   0.0000000000
     0.33381292,     0.00000000,     0.33381292,   0.0000000000
     0.27987370,     0.00000000,     0.27987370,   0.0000000000
     0.24534713,     0.00000000,     0.24534713,   0.0000000000
     0.24295036,     0.00000000,     0.24295036,   0.0000000000
     0.23981772,     0.00000000,     0.23981772,   0.0000000000
     0.23091330,     0.00000000,     0.23091330,   0.0000000000
     0.32140306,     0.00000000,     0.32140306,   0.0000000000
     0.34542993,     0.00000000,     0.34542993,   0.0000000000
     0.29872134,     0.00000000,     0.29872134,   0.0000000000
     0.31821954,     0.00000000,     0.31821954,   0.0000000000
     0.23543425,     0.00000000,     0.23543425,   0.0000000000
     0.20601878,     0.00000000,     0.20601878,   0.0000000000
     0.25526395,     0.00000000,     0.25526395,   0.0000000000
     0.28668112,     0.00000000,     0.28668112,   0.0000000000
     0.23567030,     0.00000000,     0.23567030,   0.0000000000
     0.30138662,     0.00000000,     0.30138662,   0.0000000000
     0.34607258,     0.00000000,     0.34607258,   0.0000000000
