year,doy,hour,Tair,Tsoil,Relhumid,VPD,Rain,Windspeed,Solradiation
2018,13,1,-4.9945625,-4.9945625,77.423125,0.421918522,0,0.3375,0
2018,13,2,-4.425125,-4.425125,77.43375,0.440533783,0,0.08275,0
2018,13,3,-4.1959375,-4.1959375,77.1425,0.448305024,0,0.331125,0
2018,13,4,-3.3108125,-3.3108125,72.43,0.478943333,0,0.633,0
2018,13,5,-3.4066875,-3.4066875,73.55625,0.475598002,0,0.817625,0
2018,13,6,-3.3335,-3.3335,76.298125,0.478202098,0,0.97,0
2018,13,7,-2.1844375,-2.1844375,74.395625,0.521041205,0,1.42525,25.46625
2018,13,8,0.370625,0.370625,62.406875,0.62944725,0,1.729,289.5
2018,13,9,3.81775,3.81775,45.88875,0.803734144,0,2.485,615.875
2018,13,10,5.6209375,5.6209375,39.0225,0.911004092,0,2.834875,882.225
2018,13,11,7.1715,7.1715,34.766875,1.013520241,0,2.793375,1042.75
2018,13,12,7.9874375,7.9874375,32.89,1.071776302,0,2.84525,1081.75
2018,13,13,9.806875,9.806875,29.170625,1.21179632,0,2.470125,1001.75
2018,13,14,10.576875,10.576875,26.504375,1.275547095,0,2.47675,785.75
2018,13,15,10.765625,10.765625,22.775,1.291804858,0,2.037875,390.55
2018,13,16,7.93725,7.93725,31.4375,1.071213693,0,1.27175,103.6425
2018,13,17,4.8143125,4.8143125,38.515,0.861832864,0,0.6025,11.82675
2018,13,18,3.5278125,3.5278125,40.15375,0.786838774,0,0.201625,0
2018,13,19,3.59175,3.59175,35.3425,0.790961163,0,1.0165,0
2018,13,20,2.5925,2.5925,37.528125,0.737066417,0,1.17725,0
2018,13,21,1.8115,1.8115,38.48375,0.696585854,0,1.784875,0
2018,13,22,3.0320625,3.0320625,36.5975,0.759749102,0,2.253375,0
2018,13,23,2.3746875,2.3746875,39.53625,0.724862918,0,1.8685,0
2018,14,0,1.478625,1.478625,42.8575,0.680148435,0,0.8135,0
2018,14,1,0.7979375,0.7979375,45.525,0.647415407,0,0.479875,0
2018,14,2,-0.5681875,-0.5681875,49.73125,0.586364687,0,0.54775,0
2018,14,3,-0.91,-0.91,51.724375,0.571829329,0,0.487625,0
2018,14,4,-1.375,-1.375,54.6675,0.552676706,0,0.522875,0
2018,14,5,-2.123625,-2.123625,57.3875,0.523025898,0,0.476625,0
2018,14,6,-2.786625,-2.786625,59.041875,0.497958907,0,0.628375,0
2018,14,7,-2.483375,-2.483375,57.786875,0.509549091,0,0.565875,27.7375
2018,14,8,1.7925,1.7925,47.03375,0.701774662,0,0.332125,302.375
